t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
4.932483,196.4411,201.7794,1.779448,0
4.941860,196.4444,201.7778,1.777780,0
4.951238,196.4478,201.7761,1.776114,0
4.960615,196.4511,201.7744,1.774449,0
4.969992,196.4544,201.7728,1.772786,0
4.979370,196.4578,201.7711,1.771124,0
4.988747,196.4611,201.7695,1.769464,0
4.998125,196.4644,201.7678,1.767806,0
5.007502,196.4677,201.7661,1.766149,0
5.016879,196.4710,201.7645,1.764493,0
5.026257,196.4743,201.7628,1.762839,0
5.035634,196.4776,201.7612,1.761187,0
5.045011,196.4809,201.7595,1.759536,0
5.054389,196.4842,201.7579,1.757887,0
5.063766,196.4875,201.7562,1.756240,0
5.073143,196.4908,201.7546,1.754593,0
5.082521,196.4941,201.7529,1.752949,0
5.091898,196.4974,201.7513,1.751306,0
5.101275,196.5007,201.7497,1.749664,0
5.110653,196.5040,201.7480,1.748024,0
5.120030,196.5072,201.7464,1.746386,0
5.129407,196.5105,201.7447,1.744749,0
5.138785,196.5138,201.7431,1.743114,0
5.148162,196.5170,201.7415,1.741480,0
5.157539,196.5203,201.7398,1.739848,0
5.166917,196.5236,201.7382,1.738217,0
5.176294,196.5268,201.7366,1.736588,0
5.185671,196.5301,201.7350,1.734960,0
5.195049,196.5333,201.7333,1.733334,0
5.204426,196.5366,201.7317,1.731709,0
5.213803,196.5398,201.7301,1.730086,0
5.223181,196.5431,201.7285,1.728464,0
5.232558,196.5463,201.7268,1.726844,0
5.241935,196.5495,201.7252,1.725226,0
5.251313,196.5528,201.7236,1.723609,0
5.260690,196.5560,201.7220,1.721993,0
5.270068,196.5592,201.7204,1.720379,0
5.279445,196.5625,201.7188,1.718767,0
5.288822,196.5657,201.7172,1.717156,0
5.298200,196.5689,201.7155,1.715546,0
5.307577,196.5721,201.7139,1.713938,0
5.316954,196.5753,201.7123,1.712332,0
5.326332,196.5785,201.7107,1.710727,0
5.335709,196.5818,201.7091,1.709123,0
5.345086,196.5850,201.7075,1.707521,0
5.354464,196.5882,201.7059,1.705921,0
5.363841,196.5914,201.7043,1.704322,0
5.373218,196.5946,201.7027,1.702725,0
5.382596,196.5977,201.7011,1.701129,0
5.391973,196.6009,201.6995,1.699534,0
5.401350,196.6041,201.6979,1.697941,0
5.410728,196.6073,201.6963,1.696350,0
5.420105,196.6105,201.6948,1.694760,0
5.429482,196.6137,201.6932,1.693171,0
5.438860,196.6168,201.6916,1.691584,0
5.448237,196.6200,201.6900,1.689999,0
5.457614,196.6232,201.6884,1.688415,0
5.466992,196.6263,201.6868,1.686832,0
5.476369,196.6295,201.6853,1.685251,0
5.485746,196.6327,201.6837,1.683672,0
5.495124,196.6358,201.6821,1.682093,0
5.504501,196.2876,201.8562,1.856188,1
5.513878,195.6006,202.1997,2.199676,1
5.523256,194.9660,202.5170,2.516995,1
5.532633,194.3790,202.8105,2.810483,1
5.542011,193.8355,203.0823,3.082269,1
5.551388,193.3314,203.3343,3.334292,1
5.560765,192.8634,203.5683,3.568315,1
5.570143,192.4281,203.7859,3.785946,1
5.579520,192.0227,203.9886,3.988648,1
5.588897,191.6445,204.1778,4.177753,1
5.598275,191.2911,204.3545,4.354474,1
5.607652,190.9602,204.5199,4.519915,1
5.617029,190.6498,204.6751,4.675081,1
5.626407,190.3582,204.8209,4.820888,1
5.635784,190.0837,204.9582,4.958169,1
5.645161,189.8246,205.0877,5.087684,1
5.654539,189.5798,205.2101,5.210123,1
5.663916,189.3478,205.3261,5.326115,1
5.673293,189.1275,205.4362,5.436233,1
5.682671,188.9180,205.5410,5.540999,1
5.692048,188.7182,205.6409,5.640888,1
5.701425,188.5273,205.7363,5.736332,1
5.710803,188.3446,205.8277,5.827724,1
5.720180,188.1692,205.9154,5.915423,1
5.729557,188.0005,205.9998,5.999756,1
5.738935,187.8380,206.0810,6.081019,1
5.748312,187.6810,206.1595,6.159484,1
5.757689,187.5292,206.2354,6.235396,1
5.767067,187.3820,206.3090,6.308979,1
5.776444,187.2391,206.3804,6.380439,1
5.785821,187.1001,206.4500,6.449960,1
5.795199,186.9646,206.5177,6.517713,1
