t_s,eps_single_pct,eps_mod_pct,sigma_on
4.722945,0.007491,4.150366,0
4.728946,0.007313,4.147876,0
4.734947,0.007140,4.145387,0
4.740948,0.006970,4.142900,0
4.746949,0.006805,4.140415,0
4.752951,0.006644,4.137931,0
4.758952,0.006486,4.135448,0
4.764953,0.006332,4.132967,0
4.770954,0.006182,4.130488,0
4.776955,0.006035,4.128010,0
4.782957,0.005892,4.125533,0
4.788958,0.005752,4.123058,0
4.794959,0.005616,4.120585,0
4.800960,0.005483,4.118112,0
4.806961,0.005353,4.115642,0
4.812963,0.005226,4.113173,0
4.818964,0.005102,4.110705,0
4.824965,0.004981,4.108239,0
4.830966,0.004863,4.105774,0
4.836967,0.004747,4.103311,0
4.842969,0.004635,4.100849,0
4.848970,0.004525,4.098389,0
4.854971,0.004417,4.095930,0
4.860972,0.004313,4.093473,0
4.866973,0.004210,4.091017,0
4.872975,0.004111,4.088563,0
